id,fromAccountId,toAccountId,amount,currency,txnDate,txnType,description,referenceNumber,isSuspicious,flagLevel,flagReasons
t001,ba001,ba002,120000.00,USD,2025-06-01T09:00:00,wire,Consulting service payment,REF-2025-001,false,NONE,
t002,ba003,ba004,85000.00,USD,2025-06-01T09:05:00,wire,Software development contract,REF-2025-002,false,NONE,
t003,ba005,ba006,45000.00,USD,2025-06-01T09:10:00,cash,Office equipment purchase,REF-2025-003,false,NONE,
t004,ba007,ba008,67000.00,USD,2025-06-01T09:15:00,wire,Marketing campaign payment,REF-2025-004,false,NONE,
t005,ba009,ba010,92000.00,USD,2025-06-01T09:20:00,wire,Logistics service fee,REF-2025-005,false,NONE,
t006,ba011,ba012,30000.00,USD,2025-06-01T09:25:00,cash,Local vendor payment,REF-2025-006,false,NONE,

t007,ba020,ba021,500000.00,USD,2025-06-01T10:00:00,wire,Investment capital transfer,REF-2025-007,false,NONE,
t008,ba021,ba022,490000.00,USD,2025-06-01T10:02:00,wire,Portfolio redistribution,REF-2025-008,false,NONE,
t009,ba022,ba023,480000.00,USD,2025-06-01T10:04:00,wire,Intermediary fund transfer,REF-2025-009,false,NONE,
t010,ba023,ba020,470000.00,USD,2025-06-01T10:06:00,wire,Return capital transfer,REF-2025-010,false,NONE,
