id,name,jurisdiction,registrationNumber,incorporatedDate,companyType,industry,address,isShell,flagLevel,flagReasons
c001,Meridian Trading Ltd,British Virgin Islands,BVI-2019-00341,2019-03-15,LLC,Import/Export,"Road Town, Tortola, BVI",true,NONE,
c002,Alpine Ventures GmbH,Switzerland,CHE-112.345.678,2017-08-22,GmbH,Financial Services,"Zurich, Switzerland",false,NONE,
c003,Solaris Holdings Inc,Delaware USA,DE-5723901,2018-01-10,Corporation,Real Estate,"Wilmington, DE, USA",true,NONE,
c004,Pacific Rim Consultants Pte Ltd,Singapore,SG-201823456W,2018-06-30,Pte Ltd,Consulting,"Raffles Place, Singapore",true,NONE,
c005,Nexus Global Partners LLC,Cayman Islands,CI-2020-9921,2020-02-14,LLC,Investment,"George Town, Grand Cayman",true,NONE,
c006,BlueStar Logistics AG,Switzerland,CHE-987.654.321,2015-11-05,AG,Logistics,"Basel, Switzerland",false,NONE,
c007,Ironclad Resources Corp,Delaware USA,DE-4891023,2016-04-20,Corporation,Mining,"Dover, DE, USA",true,NONE,
c008,Harborview Capital Ltd,British Virgin Islands,BVI-2021-00887,2021-07-01,LLC,Finance,"Road Town, Tortola, BVI",true,NONE,
c009,Quantum Pharma Solutions,Singapore,SG-202045678K,2020-09-12,Pte Ltd,Pharmaceuticals,"Orchard Road, Singapore",false,NONE,
c010,Eastern Star Import Export,Hong Kong,HK-3029847,2014-12-01,Limited,Trade,"Wan Chai, Hong Kong",false,NONE,
c011,Coral Bay Properties Ltd,Cayman Islands,CI-2017-6634,2017-03-28,LLC,Real Estate,"George Town, Grand Cayman",true,NONE,
c012,Amber Creek Finance,British Virgin Islands,BVI-2022-01201,2022-01-18,LLC,Finance,"Road Town, Tortola, BVI",true,NONE,
c013,NorthStar Technology Inc,Delaware USA,DE-6234789,2019-10-05,Corporation,Technology,"San Francisco, CA, USA",false,NONE,
c014,Crescent Moon Trading LLC,Cayman Islands,CI-2018-5511,2018-11-30,LLC,Trading,"George Town, Grand Cayman",true,NONE,
c015,Triton Marine Services,Singapore,SG-201567890M,2015-05-15,Pte Ltd,Maritime,"Jurong Port, Singapore",false,NONE,
c016,Zenith Asset Management,Switzerland,CHE-456.789.012,2016-07-22,AG,Asset Management,"Geneva, Switzerland",false,NONE,
c017,Phantom Equity Partners,British Virgin Islands,BVI-2023-00456,2023-02-10,LLC,Private Equity,"Road Town, Tortola, BVI",true,NONE,
c018,Silverline Media Group,Hong Kong,HK-4156923,2020-04-01,Limited,Media,"Central, Hong Kong",false,NONE,
c019,Black Pebble Investments,Cayman Islands,CI-2021-8844,2021-09-15,LLC,Investment,"George Town, Grand Cayman",true,NONE,
c020,Greenway Agri Holdings,Singapore,SG-201789012P,2017-12-20,Pte Ltd,Agriculture,"Agri-Food Innovation Park, Singapore",false,NONE,
